"","country","year","countryn","cabinet_name","govern","sstran","openc","unemp","elderly","deindust","GDP_head_o","realgdpgr","inflation","gov_left2_m","instcons","fed","vturn","duration","succession","cs1","cs2","per504_505_g","soci","chri","ecol","libe","cons","oldage_pmp","health_pmp","almp_pmp","unemp_pmp","educ_gdp","ud","Debt_GDP","debt","deficit","adjustdef","interest","grossu","netu","adjcov","COUNTRY.ABBREV","CCODE","ISOCODE","TOTGEN","UEGEN","SKGEN","PGEN","APWWage","US100","UC1000","SS100","SC1000","MPS100","MPC1000","SPS100","SPC1000","UEQUAL","UEDUR","UEWAIT","UECOV","SICKQUAL","SICKDUR","SICKWAIT","SICKCOV","PQUAL","PFUND","AVGPER","PENCOV","MRET","FRET","LEXP65"
"1","Australia",1970,1,"Gorton III",106,3.47039890289307,25.5903396606445,1.65341699123383,8.34507846832275,55.52647,16.55679296875,6.96066665649414,3.43915343284607,0,3,1,95,483,1,1970,0,6.80606031417847,0,0,0,0,0.69696968793869,NA,NA,NA,NA,NA,44.2000007629395,NA,NA,1.34161555767059,NA,6.64666652679443,2052.69995117188,2052.69995117188,90,"AUS",1,36,NA,NA,NA,NA,4244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.75
"2","Australia",1971,1,"Gorton III",106,3.6639575958252,24.8594608306885,1.90747594833374,8.34430885314941,55.78839,16.923419921875,3.848881483078,6.13810729980469,0,3,1,95,483,1,1971,0,6.80606031417847,0,0,0,0,0.69696968793869,NA,NA,NA,NA,NA,45.4000015258789,NA,NA,0.906964600086212,-0.411167949438095,6.71333312988281,2160.5,2160.5,NA,"AUS",1,36,18.4,6.3,5.7,6.4,4632,0.149,0.255,0.149,0.255,0.239,0.392,0.239,0.392,0,999,7,1,0,999,7,1,0,0,0,0.624,65,60,14.3
"3","Australia",1972,1,"McMahon",107,4.14575386047363,25.2301502227783,2.61019992828369,8.4060001373291,56.83184,17.16421484375,2.31687998771667,6.02409648895264,3.54999995231628,3,1,95.4000015258789,650,1,1972,0,6.80606031417847,0,0,0,0,0.69696968793869,NA,NA,NA,NA,NA,46.2999992370605,NA,NA,0.351596087217331,-0.715402841567993,5.83166646957397,2240.10009765625,2240.10009765625,NA,"AUS",1,36,19.1,6.7,6,6.4,5257,0.233,0.336,0.233,0.336,0.237,0.387,0.237,0.387,0,999,7,1,0,999,7,1,0,0,0,0.627,65,60,14.5
"4","Australia",1973,1,"Whitlam I",108,4.17004919052124,26.408239364624,2.30881309509277,8.50594043731689,56.98216,18.151271484375,4.39084196090698,9.09090900421143,100,3,1,95.4000015258789,540,1,1973,0,6.69999980926514,1,0,0,0,0,NA,NA,NA,NA,NA,47.2000007629395,NA,NA,1.11921346187592,-0.00850918423384428,6.93333339691162,2360.30004882812,2360.30004882812,NA,"AUS",1,36,20.5,7.4,6.5,6.7,6550,0.268,0.575,0.268,0.575,0.268,0.434,0.268,0.434,0,999,7,1,0,999,7,1,0,0,0,0.685,65,60,14.6
"5","Australia",1974,1,"Whitlam I",108,5.02828598022461,29.0562000274658,2.67026305198669,8.6074104309082,58.19152,17.371625,1.58147490024567,15.4166669845581,100,3,1,95.4000015258789,540,1,1974,0.00147928996011615,6.69999980926514,1,0,0,0,0,NA,NA,NA,NA,NA,48.7999992370605,NA,NA,0.479742527008057,-0.540616869926453,9.03666687011719,2452.69995117188,2452.69995117188,88,"AUS",1,36,20.2,7.2,6.4,6.6,7907,0.266,0.518,0.266,0.518,0.266,0.405,0.266,0.405,0,999,7,1,0,999,7,1,0,0,0,0.735,65,60,14.55
"6","Australia",1975,1,"Whitlam II",109,5.76232957839966,26.9290409088135,4.90287923812866,8.72071170806885,59.82187,17.466953125,2.35481095314026,15.1624546051025,86.3000030517578,3,1,95.4000015258789,517,1,1975,0.0118343196809292,15.6000003814697,1,0,0,0,0,NA,NA,NA,NA,NA,50.0999984741211,NA,NA,-1.45621562004089,-2.6039297580719,9.74166679382324,2503.69995117188,2503.69995117188,NA,"AUS",1,36,20.2,7.2,6.3,6.7,9071,0.261,0.505,0.261,0.505,NA,NA,0.261,0.381,0,999,7,1,0,999,7,1,0,0,0,0.767,65,60,15.05
"7","Australia",1976,1,"Fraser II",110,6.58785343170166,28.7057209014893,4.77336311340332,8.92766761779785,60.57837,18.021720703125,3.92241954803467,13.322883605957,0,3,1,95.4000015258789,729,0,1976,0.0399408265948296,2.11428567767143,0,0,0,0,0.747252762317657,NA,NA,NA,NA,NA,49.5,NA,NA,-1.49205255508423,-3.1107349395752,10.0308332443237,2474.39990234375,2474.39990234375,NA,"AUS",1,36,21,7.5,6.6,6.8,10062,0.289,0.627,0.289,0.627,0.289,0.428,0.289,0.428,0,999,7,1,0,999,7,1,0,0,0,0.79,65,60,14.95
"8","Australia",1977,1,"Fraser II",110,7.03641986846924,28.2545108795166,5.63139915466309,9.07244777679443,60.91699,18.1341953125,1.44830822944641,12.3098201751709,0,3,1,95,729,0,1977,0.0946745574474335,2.11428567767143,0,0,0,0,0.747252762317657,NA,NA,NA,NA,NA,48.7000007629395,NA,NA,-1.83587145805359,-3.30932450294495,10.2266664505005,2473.39990234375,2473.39990234375,NA,"AUS",1,36,21.2,7.6,6.7,6.9,10773,0.309,0.642,0.309,0.642,0.285,0.423,0.285,0.423,0,999,7,1,0,999,7,1,0,0,0,0.808,65,60,15.4
"9","Australia",1978,1,"Fraser III",111,6.7514066696167,29.7057094573975,6.39735889434814,9.24011707305908,62.41936,18.814869140625,2.0289249420166,8.00492572784424,0,3,1,95,1049,1,1978,0.184911236166954,2.09186053276062,0,0,0,0,0.779069781303406,NA,NA,NA,NA,6.01359987258911,49.2000007629395,NA,NA,-2.31377506256104,-3.77120590209961,9.0600004196167,2502.30004882812,2502.30004882812,NA,"AUS",1,36,21.2,7.6,6.6,7.1,11570,0.305,0.625,0.305,0.625,0.305,0.451,0.305,0.451,0,999,7,1,0,999,7,1,0,0,0,0.833,65,60,15.45
"10","Australia",1979,1,"Fraser III",111,6.44564485549927,32.374568939209,6.26490211486816,9.43616390228271,61.89221,19.22509375,4.64798974990845,9.1220064163208,0,3,1,95,1049,1,1979,0.319526612758636,2.09186053276062,0,0,0,0,0.779069781303406,NA,NA,NA,NA,5.901939868927,49.5999984741211,NA,NA,-0.745305478572845,-2.09042429924011,9.74916648864746,2541.80004882812,2541.80004882812,NA,"AUS",1,36,21.2,7.5,6.6,7.1,13905,0.296,0.616,0.296,0.616,0.306,0.458,0.306,0.458,0,999,7,1,0,999,7,1,0,0,0,0.835,65,60,15.75
"11","Australia",1980,1,"Fraser III",111,6.35440540313721,31.6465892791748,6.10515308380127,9.61716747283936,62.61666,19.638822265625,2.84079241752625,10.1358413696289,0,3,1,94.4000015258789,1049,1,1980,0.507396459579468,2.09186053276062,0,0,0,0,0.779069781303406,3.09999990463257,3.79999995231628,NA,0.600000023841858,5.65847015380859,49.5999984741211,8.02700042724609,NA,0.165112018585205,-1.06880259513855,11.647500038147,2615.60009765625,2615.60009765625,88,"AUS",1,36,20.5,7.2,6.4,6.9,15465,0.25,0.536,0.25,0.536,0.281,0.42,0.281,0.42,0,999,7,1,0,999,7,1,0,0,0,0.836,65,60,15.8
"12","Australia",1981,1,"Fraser IV",112,6.34236478805542,30.3813209533691,5.78362512588501,9.74987411499023,63.00985,20.26908984375,4.07321739196777,9.48766613006592,27.033332824707,3,1,94.4000015258789,858,1,1981,0.757396459579468,0.291891902685165,0,0,0,0,0.72972971200943,3.09999990463257,3.70000004768372,NA,0.699999988079071,NA,49.0999984741211,7.33099985122681,NA,0.00891512632369995,-1.67533707618713,13.9583330154419,2648.69995117188,2648.69995117188,NA,"AUS",1,36,20.5,7.2,6.3,7,17462,0.234,0.536,0.234,0.536,0.281,0.423,0.281,0.423,0,999,7,1,0,999,7,1,0,0,0,0.833,65,60,16
"13","Australia",1982,1,"Fraser IV",112,7.22182893753052,29.240650177002,7.16263580322266,9.87054538726807,63.69554,19.48834375,-0.393135696649551,11.3518199920654,27.033332824707,3,1,94.4000015258789,858,1,1982,1.07840240001678,0.291891902685165,0,0,0,0,0.72972971200943,3.20000004768372,3.70000004768372,NA,1.20000004768372,5.48237991333008,49.4000015258789,6.02799987792969,NA,-0.846015453338623,-1.89779961109161,15.375,2667,2667,NA,"AUS",1,36,20.4,7.1,6.3,7,17560,0.224,0.506,0.224,0.506,0.286,0.432,0.286,0.432,0,999,7,1,0,999,7,1,0,0,0,0.826,65,60,15.9
"14","Australia",1983,1,"Fraser IV",112,7.42400550842285,28.5679492950439,9.9613790512085,9.97669696807861,64.75809,20.3817578125,-0.176082894206047,10.0389108657837,27.033332824707,3,1,94.5999984741211,858,1,1983,1.47928988933563,0.291891902685165,0,0,0,0,0.72972971200943,3.09999990463257,3.90000009536743,NA,1.39999997615814,5.37440013885498,49.7999992370605,7.56400012969971,NA,-1.81726014614105,-1.99488627910614,13.8874998092651,2642.89990234375,2642.89990234375,NA,"AUS",1,36,20.7,7.2,6.4,7.1,18829,0.246,0.535,0.246,0.535,0.295,0.438,0.295,0.438,0,999,7,1,0,999,7,1,0,0,0,0.827,65,60,16.25
"15","Australia",1984,1,"Hawke I",113,7.25407314300537,32.5351791381836,8.98680400848389,10.1017198562622,65.60049,20.932359375,6.56405878067017,3.96039605140686,100,3,1,94.1999969482422,643,1,1984,1.96893489360809,5.30000019073486,1,0,0,0,0,3.09999990463257,4.40000009536743,NA,1.29999995231628,NA,49.0999984741211,9.86299991607666,NA,-1.38738775253296,-2.23318576812744,13.5249996185303,2680.89990234375,2680.89990234375,NA,"AUS",1,36,21.1,7.4,6.5,7.2,20275,0.262,0.58,0.262,0.58,0.305,0.456,0.305,0.456,0,999,7,1,0,999,7,1,0,0,0,0.797,65,60,16.4
"16","Australia",1985,1,"Hawke II",114,7.02160501480103,33.1370391845703,8.25813579559326,10.2672700881958,66.46584,21.28584375,5.1573371887207,6.73469400405884,100,3,1,94.1999969482422,953,1,1985,2.55621290206909,6.09999990463257,1,0,0,0,0,2.90000009536743,4.5,0.400000005960464,1.20000004768372,5.40571022033691,49.0999984741211,11.2910003662109,NA,-0.92634916305542,-2.5698025226593,13.9541664123535,2792.80004882812,2792.80004882812,85,"AUS",1,36,21.1,7.4,6.5,7.2,21414,0.261,0.588,0.261,0.588,0.306,0.46,0.306,0.46,0,999,7,1,0,999,7,1,0,0,0,0.766,65,60,16.25
"17","Australia",1986,1,"Hawke II",114,6.85796785354614,32.6386108398438,8.08057117462158,10.5011501312256,66.84647,21.48776171875,2.31485247612,9.05035018920898,100,3,1,94.1999969482422,953,1,1986,3.25,6.09999990463257,1,0,0,0,0,2.90000009536743,4.59999990463257,0.300000011920929,1.20000004768372,5.28118991851807,48.5999984741211,11.7480001449585,NA,0.209804534912109,-0.824696004390717,13.4166669845581,2870.5,2870.5,NA,"AUS",1,36,21.5,7.5,6.6,7.3,22698,0.29,0.626,0.29,0.626,0.31,0.469,0.31,0.469,0,999,7,1,0,999,7,1,0,0,0,0.741,65,60,16.55
"18","Australia",1987,1,"Hawke II",114,6.6397647857666,32.5951499938965,8.10639476776123,10.6941699981689,67.98962,22.8968984375,5.15718269348145,8.53302192687988,100,3,1,93.8000030517578,953,1,1987,4.05621290206909,6.09999990463257,1,0,0,0,0,3.20000004768372,4.40000009536743,0.300000011920929,1,5.07004976272583,48,11.3500003814697,NA,1.78035128116608,1.32716679573059,13.1916666030884,2909.19995117188,2909.19995117188,NA,"AUS",1,36,21.7,7.6,6.6,7.4,24913,0.298,0.641,0.298,0.641,0.319,0.484,0.319,0.484,0,999,7,1,0,999,7,1,0,0,0,0.729,65,60,16.65
"19","Australia",1988,1,"Hawke III",115,6.14026069641113,32.0844192504883,7.22580814361572,10.8357400894165,67.59174,23.996775390625,4.39876699447632,7.21593952178955,100,3,1,93.8000030517578,985,1,1988,4.96893501281738,8.5,1,0,0,0,0,3.09999990463257,4.30000019073486,0.200000002980232,0.800000011920929,4.91693019866943,46.5,9.46500015258789,NA,3.14852476119995,3.20722818374634,12.1041669845581,2922.30004882812,2922.30004882812,NA,"AUS",1,36,21.9,7.7,6.7,7.5,27195,0.302,0.67,0.302,0.67,0.324,0.495,0.324,0.495,0,999,7,1,0,999,7,1,0,0,0,0.715,65,60,16.75
"20","Australia",1989,1,"Hawke III",115,6.15708160400391,32.1830711364746,6.17498779296875,10.9816198348999,68.34531,24.472716796875,4.26693820953369,7.53390264511108,100,3,1,93.8000030517578,985,1,1989,5.97929000854492,8.5,1,0,0,0,0,3.09999990463257,4.30000019073486,0.200000002980232,0.800000011920929,4.74656009674072,45.2999992370605,7.69299983978271,23.2160186767578,2.07666873931885,1.50775945186615,13.4083337783813,2988.39990234375,2988.39990234375,80,"AUS",1,36,21.7,7.6,6.6,7.5,28030,0.29,0.641,0.29,0.641,NA,NA,0.311,0.475,0,999,7,1,0,999,7,1,0,0,0,0.7,65,60,16.7
